t_rel_s,phase,mv,ma,watt,temp_max_c
38.558,warmup,4944.0,1776.0,8.7805,61.91
38.658,warmup,4944.0,1776.0,8.7805,62.03
38.758,warmup,4944.0,1760.0,8.7014,62.06
38.858,warmup,4944.0,1768.0,8.7410,62.03
38.958,warmup,4944.0,1784.0,8.8201,62.03
39.058,warmup,4944.0,1784.0,8.8201,62.03
39.158,warmup,4952.0,1776.0,8.7948,62.06
39.259,warmup,4952.0,1760.0,8.7155,61.88
39.359,warmup,4944.0,1768.0,8.7410,62.16
39.459,warmup,4944.0,1784.0,8.8201,62.25
39.559,warmup,4944.0,1776.0,8.7805,62.06
39.659,warmup,4944.0,1776.0,8.7805,62.28
39.759,warmup,4944.0,1752.0,8.6619,62.06
39.859,warmup,4944.0,1776.0,8.7805,62.06
39.959,warmup,4944.0,1784.0,8.8201,62.09
40.060,warmup,4944.0,1784.0,8.8201,62.31
40.160,warmup,4944.0,1776.0,8.7805,62.03
40.260,warmup,4952.0,1760.0,8.7155,61.88
40.360,warmup,4944.0,1776.0,8.7805,62.09
40.460,warmup,4944.0,1784.0,8.8201,62.12
40.560,warmup,4944.0,1776.0,8.7805,62.09
40.660,warmup,4944.0,1768.0,8.7410,62.09
40.760,warmup,4952.0,1768.0,8.7551,62.00
40.861,warmup,4944.0,1784.0,8.8201,62.06
40.961,warmup,4944.0,1784.0,8.8201,62.16
41.061,warmup,4952.0,1784.0,8.8344,62.06
41.161,warmup,4952.0,1768.0,8.7551,62.16
41.261,warmup,4952.0,1768.0,8.7551,62.06
41.361,warmup,4944.0,1784.0,8.8201,62.44
41.461,warmup,4944.0,1784.0,8.8201,62.38
41.561,warmup,4944.0,1776.0,8.7805,62.22
41.662,warmup,4952.0,1768.0,8.7551,62.06
41.762,warmup,4944.0,1776.0,8.7805,62.19
41.862,warmup,4944.0,1792.0,8.8596,62.25
41.962,warmup,4944.0,1784.0,8.8201,62.09
42.062,warmup,4944.0,1776.0,8.7805,62.31
42.162,warmup,4952.0,1768.0,8.7551,62.03
42.262,warmup,4952.0,1776.0,8.7948,62.03
42.363,warmup,4944.0,1792.0,8.8596,62.25
42.463,warmup,4944.0,1784.0,8.8201,62.19
42.563,warmup,4944.0,1776.0,8.7805,62.25
42.663,warmup,4952.0,1760.0,8.7155,62.09
42.763,warmup,4944.0,1776.0,8.7805,62.06
42.863,warmup,4944.0,1792.0,8.8596,62.38
42.963,warmup,4944.0,1784.0,8.8201,62.25
43.063,warmup,4944.0,1784.0,8.8201,62.41
43.164,warmup,4952.0,1768.0,8.7551,62.25
43.264,warmup,4944.0,1784.0,8.8201,62.34
